0	1
اخطاریه افزایش وجه تضمین	margin call
for the most part	تا حدی زیادی/ در بیشتر موارد
تبلیغات محیطی فوتبال	Footbal Perimeter (Board) Advertising
اعمال	exercise
اتاق پایاپای	clearing house
بازار مشتقه	derivatives market
زیرگروه هم‌ماه	Series
آخرین روز معاملاتی	last trading day
هر آینه‌ نَ	certainly / definitely
بازار مکاره	fair market
مستمع صاحب سخن را بر سر ذوق یا شوق آورد	the audience lit a fire under the speaker
کسی رو در مقابل عمل انجام شده قرار دادن	to present someone with a fait accompli
قابل اجرا دانستن	to consider something enforceable
حلقه وصل	connecting link / bridge
يه وقت	lest / be careful
مخالفت مجلس ایران با سرپرستی وزارتخانه فاقد وزیر توسط وزیر دیگر	Opposition of Iranian parliament with running/managing a headless ministry by a minister who is in c
از دماغت در مياد	you will suffer the consequences
لنگ بودن در کاری/چیزی	to be awkward/poor in sth
به همان نسبت	to the extent that....to the same extant...
معدل درس عمومی و تخصصی	GPAs for the general and the specialised courses
ضمن تبریک کریسمس	While I wish you a happy Christmas
کاشف از اعتبار عقد	realization of the validity of the contract
تصرف ناقل عين	Transfer of the (original) property
از حلقومت مي‌كشم بيرون!	I\'ll take it out of your hide
تعلیق در انشاء	contingency in the original written cotract
انشاء نشده	not stipulated in writing/in the written contract
علم مخالفت برافراشتن	raised the banner/standard of opposition
یک بلای سر کسی آوردن	to bring his life crashing down
نهادینه کردن	to establish; to adopt, cultivate (for habits)
تعلیق در منشاء	contingency in the written cotract
فرهنگ [سازمانی]	[organizational] culture
مصلحت بينى	course of action/justification
رعايت صلاح بندگان	the observance of servants\' interest/the good of servants
معلق علیه	the event (condition) in a conditional contract
تعهد ایجاب کننده معلق بر حدوث	the commitment of the offeror is conaitional upon occurance
ذمه مضمون عنه بری می شود	The debtor / the principal debtor is discharged from his obligation
ذمه مضمون له بری می شود	The creditor is discharged from his obligation
تعهد منجز	pure or simple obligation
تعهد معلق	conditional obligation/commitment
طبع عقد غائبین	nature of contract by correspondence
انرژي مصرفي	resting energy expenditure
يادآمد	Dietary Recall (DR)
پذیرش	compliance
سرعت متابوليک پايه	basal metabolic rate
صلاح کسی را دانستن	have someone's best interest(s) at heart
نمايه ي توده ي بدن	body mass index
کنترل شده با دارونما	placebo-controlled
دو سوکور	double blind
قهرمان داستان حکمین	the hero of Hakamain Chronicle
اهل کاری/چیزی بودن	to be into something / to be interested in something / to be man of something
مرکز گسترش سینمای مستند و تجربی	DEFC (Documentary and Experimental Film Center)
درسیابی	learning
تازه سر از تخم در آوردی	to be wet behind the ears
اداره مبارزه با جرایم جنایی	anti-crime office
بنای کسی بر چیزی بودن	their approach was
از این‌جهت	for/ because of/ for the reason
روي غلطك بودن	everything was going right
کسی رو دور زدن	to go behind someone\'s back/to get around someone
خودتو لوس كن	OK, be difficult!/Ok, do it your way!
چوب و چماق میخواید؟	Are you cruisin' for a bruisin'?
به روی کسی خندیدن	to let someone off easy/to go easy on someone
مو از سر کسی کم شدن	to harm a hair on somebody's head
آب كه سربالا بره، قورباغه ابوعطا مي‌خونه	When pigs fly!
آواز ابوعطا	Abu Atta mode
نگذار	don\'t let
هزار بار مردن و زنده شدن	to die a thousand deaths/times
صرف و نحو عربی	Arabic Morphology and Syntax / Grammar
خروسِ بي‌محل	blabbermouth
خروس بی محل	backseat driver; kibitzer; butinsky; blabbermouth
مسابقه ی رفت و برگشت	home and away (games/matches)
پرینتر جوهر افشان	inkjet printer
بدون پرز	lint-free
تنگه ی احد	ravine of Uhud
کارت مخصوص ضرب مهر های اضطراری	card for stamps for notable [or ‘special’] events
رودار	lid
همه چیز با هم زیاد شده	things became overwhelming
دانشگاه سراسری	nationwide university (entrance exam)
تدوین کردن	to develop; to formulate; to devise
خلاف	Wrongdoer
ابلاغنامه	Summons
شماره دسترسی اداره ابلاغ	Access Number of Summons (Processing) Department
مامور ابلاغ	process server
دعوی متقابل	counter claim
برگ دادخواست	lawsuit
حرفی از جنس زمان	I heard no word of the stuff of times
دستگاه سنگ محور	Cylindrical grinder, cylindrical grinding machine
در حدِ	as far as
واقعا چه آدمايي پيدا مي شنا!	Some mothers\' children!
ممنوع الخروج	banned/barred from foreign travel
ساخته شدن	build, develop, prepare
اصالتا	originally
نقد	review
عمق درگیری	blade cutting depth, stepdown
ضخامت درگیری	blade thickness/layer height
روزهای زوج	Saturdays, Mondays, and Wednesdays
طراحی سیستم های رکسه	Rex system design
خسن و خسین هر سه دختران مغاویه هستند	A lie / inconsistent or self-contradictory story / whopper
شابرزنی	shaping / scraping
تاریخ اعزام کارشناس	Date of specialist's deployment
دم‌دمش	right up to/right next to
what-ever-aire	هرچیاردر
قرینه های حالیه و مقالیه	similar typological and categorical instances
دبیرخانه ریاست سازمان	The Organization's Directorship Secretariat
کون لق کسی	to hell with....
استاد راهنما	Advisor
کاه از خودت نیست کاهدون از تسوت	don\'t stuff yourself just because the food is free
قرارداد کارمند پیمانی / قرارداد استخدام پیمانی	a contract employee's contract (agreement)
این درحالی است که	Yet / While / Meanwhile
هیات امناء	board of trustees
تفاوت حداقل دریافتی	difference to/from minimum wage/salary
فيچرهای اوليه	primary or basic features
جهت های بستن	orientations / directions for attaching / mounting
آي دچار دلخنكي شدم	I got full of glee (and joy)
زنان چادر شب	Women wearing jilbab
معاون آموزشی	Deputy Dean for Education/ Vice Dean for Education
ريتم	rhythm
در بدو تولد	at birth
قانون اجازه اجرای موافقت نامه	Law of (Approving and) Authorizing Execution of Agreement
قانون برنامه سوم	Third Development Plan (Law)
پیاز خلالی	Thinly sliced onion
کم آوردن	stuck for words
سهامداران کنسرسیوم برنده	Shareholders of the Winner/Winning Consortium
سهام بصورت بی نام	Bearer shares
کمیسیون موضوع ماده 2 آئین نامه اجرایی	Executive Bylaw Article 2's Commission
شتر	slice
كشیدن	impose/ to make to carry/ to burden
معاونت های رئیس جمهوری	[Iranian] Vice Presidencies
پروانه بهره بردار دوم تلفن همراه کشور	Iran's Second Mobile Phone Network Operator Permit/License
به همین راستا	as a result; thus; accordingly; in consequence; for that reason;in the same way
در پیش گرفتن	continued on his/her journey.
ماجرایی	adventure, story
دوره	era
موسسه ضامن	guarantor/warranter (institution)
دستورنامه	Rules of Order
اداره کل گمرک	General administration of customs
اوراق بهادار ترکیبی	hybrid securities
وثیقه	collateral
اجرای سند رهنی	Foreclosure
آماره * دو دنباله	star statistic of two sequences
و بس	only
شفره	knife / cutter
پیراسته	pure
حق سنوات	severance package / termination benefits
پشت جبهه	back
مکتب	movement; school
تخصّص پیدا کردن	To gain expertise in
معینی	specific/certain
شل گوش	a clumsy clot
تیربار	Machine Gun
در جا عقبگرد	About Turn/About Face
روی تخت	surface
بیسیمچی	signaller
حوصله‌سوز	patience-trying
دل آدمو مي‌زنه	cloying
هماو	هماو= هم او (همانا او؛ همان او؛ خود او)
ستیز (suffix)	anti
تعیین	determine / decide
کف	sole
در گرو	tide up, depending
فحوا	tenor, context, content
در فصول مرده	fallow season(s)
بد چم	bad sense
گنجیدن	hold/ contain/ encompass/ to be possible
بر وزن جور	rhymes with...
روایی افتراقی	discriminated validity
جهانگریزی	otherworldliness
امروز چه روزیه؟	What daye is today? What\'s the day today/what is the date today?
پای عمل به میون دادن	when it comes to action/ deeds
ادعای انتقاد	claiming to be critical of...
به چیزی برخورد خوردن	face; come across; encounter
محلّ	will it bounce?
باغ گردی	Garden walking / Garden hiking / Garden trekking
جامعه تحقیق	research population
singularity	تکینگی
[جانا سخن از زبان ما مي‌گويي ]	you took the words right out of my mouth.
بسیار سفر باید تا پخته شود خامی	travel brings wisdom
دو بامبی کوبیدن	hit with both his hands
کارورزی	internship
تو رو خدا جک نگو	Stop with the joking already!C'mon, get serious! Knock it off with the jokes! Enough with the joking!
شلوارش تو پاش بازی می کنه	his pants are flopping in the wind
پر رونق	thriving/prosperous/flourishing
جوانه زدن	sprout; bud
گذر پوست به دباغ خانه مي‌افتد! بي راه نگفته‌ان	at length the fox is brought to the furrier
جوانی است و هزار خم و چم	the ways of youth are complicated
هردم ازاین باغ بری می رسد ، تازه تر از تازه تری می رسد	Well, things just couldn\'t get better!
جای کسی درد می آد	won\'t hurt anyone
یادکردن	remember
فضول را بردند جهنم گفت هیزمش تر است	don\'t stick/poke your nose in (where it\'s not wanted)
جواب های هوی است	tit for tat/ an eye for an eye/ a tooth for a tooth
کسی که خربزه میخورد، پای لرزش هم مینشیند	As you make your bed, so you must lie on it
نشسته بر سرشاخ بن مي‌بريد	sawing off the branch you\'re sitting on
حالا کجايي که سر گنده‌اش زير لحاف است	You ain\'t seen nothing yet!; The best (part) is yet to come!; That\'s the thin end of the wedge!
ظهور منجی	the reappearance of the Savior
سینمای مسیحایی	the Messianic cinema
دویدن! از دوست به یک اشاره ، از ما به سر	just say the word and I\'ll come running
به گوش گفتند چرا فربه نشوی، گفت ز بس سخنان عجیب شنوم!	it is like talking to the fence post
آن قدر ماه است که نگو	(I/you) can\'t describe how wonderful he/she is
دو پا داشت دو پای دیگر قرص کرد	as fast as his legs could carry him
که از تعجب داشت شاخ در می آورد	he was dumbfounded/ astonished/ completely surprised/ absolutely astonished
ﻫﻴﺄت علمی رسمی قطعی	Tenured faculty member
آتيش‌بيارِ معركه	add fuel to the fire/flames / join them
سر لج افتادن	to get pigheaded/bullheaded
از خواب پریدم	I woke up with a start.
تحلیل واریانس تکرار سنجش	repeated measures analysis of variance
حوزه علمیه	Islamic seminary, theological college, or divinity school
صادق در اقرار	truthful in admission / truthful in acknowledgement
درون چاهی	Downhole, in-well
گوارای وجود: برای نوشیدنی ها	cheers
در جای مناسب	where they deem aprropriate, in an appropriate way
reflux	بازگشت اسید معده به مری / ترش کردن / سوزش سر دل
سفارش	repeat myself/remind you of
پیشرونده	expansive
حلقه چاه ارت	earthing pit, earthing well
کله کسی باد داشتن	to have one\'s head in the clouds
در آن واحد	at the same time/simultaneously
ماهي را هر وقت از آب بگيري تازه است	It\'s never too late to mend.
حرف حسابش چيه	What he\'s got to say / what he\'s up to
امنیت زدایی	Desecuritization
برق از چشمانم پريد	frighten one out of one's wits/ be scared shitless/scare the daylights out of somebody
يه آشي براش پخت كه يه وجب روغن رويش بود	to fix someone\'s wagon
خناق گرفتن	To have a lump in one's throat; to feel suffocated by fear; to remain silent
گرافیک و نقشه خوانی	graphics and diagram reading/interpreting
نقش مقابل	(play/ act) opposite
به گردن کسی حق داشتن	to be beholden to someone
مواد اوليه	raw material
اصول طراحي منو	menu design principles
آحاد مردم	all the pepole in society/ people from all walks of life
دهن کسی کف کردن	one\'s jaw drops
شیری یا روباه؟	Did you get it?/ Any sucess?/ How did you make out?
دلاک	rubber
شَفْت	drupe
چند مرده حلاج بودن	what is in your heart/ how rightous you are
حلالیت طلبیدن	ask for forgiveness
سر در کار خود بودن	to mind one\'s own business / to be busy with one\'s own work/business
جواب کردن	to reject,
خود را رساندن	to come running
جور بودن جنس	the line (of goods) is not complete
در بعد مقابله	in aspect of dealing with/taking action aginst [threats]
با کسی پدر کشتگی داشتن	to have a vendetta against someone
شهر هرت	zoo
برای خود بریدن و دوختن	One man Show
الاف بودن/کردن	to keep someone waiting/to be kept waiting
باش تا اموراتت بگذره	as you wish/ I don't care
دامن گستردن	spread to
تکلیف کسی را مشخص کردن	sort things out/ come up with a decision
نوبرش را آوردن	he/she has really gone too far
انگار نه انگار	doesn't care less/ doesn't give a damn
مزاحم تلفنی	Prank caller
خیر بودن	to be of Good Omen, blessings in the skies,
دل کسی گرفتن	to be down in the dumps
سرعت را بیشتر کردن	speed up
نرم افزاری در تامین امنیت،	software (methods/techniques) in providing security
شب شما بخیر	good evening; good night
توی شکم مادر	in one\'s mother\'s womb
مدیران جایگاه های 18 (سرتیپی)	Commanders/Officers holding rank 18 (Brigadier general)
زمینه ای موردی	Context for case study
خبر فوری	breaking news
آش پشت پا	bon voyage soup/ash
شر خر	collection agent
از رده خارج بودن	out of style
استوک	cleat; stud
کار کسی بیخ پیدا کردن	to reach a dead end
مگه پول علف خرسه	money doesn't grow on trees
چشم و هم چشمی کردن	to Keep up with the joneses
به اِزاي	against/per
ادا شده	pronounced
به غلط کردن افتادن	to pay the piper
پدر کسی را درآوردن	to fix somebody
سر کار گذاشتن	to pull someone\'s leg, to make fool/fun of someone
پای توی یک کفش کردن	stand pat, stand fast, stand firm,
از توی حلق کسی کشیدن بیرون	to make sb regret st
با هم گرم گرفتن	to treat warmly, to behave cordially/friendly
جور کردن	to get together
دل کسی باز شدن	to feel at ease/to feel comfortable
بلوز یقه کیپ	turtleneck blouse
کت دوطرف دکمه دار	double-breasted coat
استخاره کردن	to resort to bibliomancy
از دل کسی درآوردن	to make it up to someone
قربون ... رفتن	you deserve the Nobel Prize for....
امضا دادن	autograph
برای رد گم کردن	a red herring
جرم کسی سبک تر شدن	to reduce the charges against someone
یائسه	menopausal
قوز بالا قوز	kick in the pants
مرکز آموزش های تخصصی افسری(نیروی دریایی)	Specilized Naval Training Centre/ Marine Officer's Specialized Training Centre
دستش را گرفت لبِ ديوار.	catch the parapet
کم آوردن	to come up short
چیزی را در جیب خود گذاشتن (اصطلاح)	he eats \xyz\ for breakfast
ناودان	cullis, spout
در کمال خوشحالی	(It is) with great(est) happiness that...
خود را به موش مردگی زدن	play possum
مسخرشو درآورده	he/she has turned it into a circus
نظم دادگاه را رعایت کردن	order in the court!
مرده خوری گل زدن	to score an easy goal
بچه محل	homey/ home boy
پرکن	filler
هواگیری کردن	bleed
گوشه و کناری	somewhere, here and there
ثانی ها	the Thani family; the Thani clan; the House of Thani, the royal family of Qatar
جسم گیری	incarnation
معانی جزئیه	partial meanings
قانون هدفمندسازی یارانه ها	targeted subsidy/subsidies Law/ Act
با کسی طرف بودن	to deal with sb
ویژه‌ی سواری	a riding-only (camel)/ for riding
آشِ كشكِ خالَتِه، بُخوري پاته، نَخوري پاته.	You must grin and bear it./ Love it or leave it.
كار گروه تعيين مصاديق محتواي مجرمانه قانون جرايم رايانه اي	Committee for Determining Examples/ Instances of Criminal Web Content
کارنامه	filmography
به هم خوردن	To disrupt
کوری عصاكش كور دگر شود	(A case of) The blind leading the blind
بتکده	house of idols
در صحنه بودن	to actively participate in national affairs/to be ready to deal with any problem menacing the public interest
به جان هم انداختن	to set people against each other (to cause to become enemies)
به جرات	undoubtedly
تمام سرد و گرم های	all the ups and downs
توده لبوله	lobulated mass
برابر با	concurrent /simultanous with
(ترانسفورماتور (ترانس	Transformer
متفرقه	sundry fields
واژگان بینابینی و بی مورد	neutral and not applicable (N/A)
سابقه فرهنگستان در واژه سازی دورگه	background of (Persian Language and Literature) Academy in coining hybrid words
حد نصاب	quoracy
غائبین	apologies
به کل	in its entirety
دودوزه باز	double-crosser
حریم رودخانه	riparian zone or riparian area
تخریب اسناد و مدارک	spoilation of evidence
در نفی	in rebuttal of
ارزه	[I mean] That/the foreign currency.
آدم کشی	foul play
همه کارو ردیف کردن	to make/get things right
بويي از چیزی نبرده بودن	to be devoid / void of sth / to not understand / appreciate / realize sth
جام جم در جام	Jamejam dar Jam
شرح های معروف	established commentaries
دفاتر رسمی پلمپ شده	sealed ledgers
کوچک انگاری	belittlement
تفرعن	haughtiness / arrogance
صفات ثبوتيه و صفات سلبيه	affirmative and privative attributes of God
دولت‌شهر	city state
خودگردان	autonomous
دتکون بخور	move!
تدقیقات	Research
مصارف غذايي انسان و دام	human and domestic animal food consumption
بازیگردان	casting director
فروشگاه ابزار و يراق	Tools and Hardware Store
تحت سیطره در اوردن	to gain supremacy over
تايروترون	thyratron
یکجانشین	non-nomadic
کارهای اصلاحات منتهی به مهلت	corrections (to be) done before the deadline
سرردکسیای علمی انسکلوپدی تاجیک	Tajik scientific encyclopedic credixia
ریاست تنظیم کار مطبوعات و موسسه های طبع و نشر	head of regulating the press and publication institues affairs
فهرست نویسی	Cataloging
محله های زاغه نشین	slums
آلونک نشینی	Spontaneous Settlement
حاشیه نشینی	marginal settlement
کپر	farm shed
حلبی آباد‎	shanty town
فضولی موقوف	keep your nose out!
تا خرخره خوردن	eat to heart
پایگاه‌های اطلاع رسانی رسمی	official informational sites
استانداری	Provincial Government
هدرور ورودی میترینگ	(the) header side of the metering inlet
مشکل خواننده و مخاطب	the problem of readership
الکی خوش	a happy-go-lucky sort of person
مشکوک می زد	to look fishy
عذر خواستن	to discharge somebody
وعده سر خرمن دادن	to promise the moon
در مقابلم	before me/ in front of me
یا سر می‌رود یا کلاه می‌آید	Either to win the horse or lose the saddle
مطروحه	sub judice ; under judgement
ظاهر‌گرایی	appearancism
حاشیه نویسی	annotation
بالیدن	flaunt
چشمی‎	peephole
پر چاله و چوله	full of potholes
يا رومي روم، يا زنگي زنگ	either totally Roman or totally Zanzibari
اصلاحات امانی	Reforms of Amānullāh Khān
حق التالیف	royalty
می‌ذارم سر ما	to outcry, to scream as sloud as you can
مصوبات	enactments
بابری	(from) Babur/Baber/Babar or Baberi
ميدان تاخت و تاز	battlefield/ battleground
تست ورزش	cardiac stress test
تفاوت غذای رژیمی	extra charge for diet meals
اکومری	Trans- Esophageal Echocardiogram
پریکاردیوسنتز	pericardiocentesis
بازتوانی قلبی	Cardiac Rehabilitation
آنالیزوپروگرمینگ پیس	Pacemaker Analysis and Programming
آرتلاین و کاتتر سی وی پی	arterial line and CVP catheter
کاردیوژن الکتیو	Elective cardioversion
بابی یافتن	To find an opening (opportunity) toward/onto something
کباده کش	athlete / sportsman / gymnast /
خدمت رسیدن	to come over
حلال‌زاده بودن	speak of the devil and he appears
علی‌الحساب	down payment/ on account / in part payment
باور به عدم اطلاع	certitude of (author's) unawareness/ ignorance
خروج ارز	outflow of foreign currency
گلوله مشبک کاری	Perforation bullet
تطبیقی‎	adaptive
فیزیک لایه های نازک	Physics of Thin films‎
تاریخ امامت	History of Imamah
آزمایشگاه نور هندسی و موجی	Physical (wave) and Geometrical Optics Lab
رشته کردن پنبه / رشته ها پنبه شدن	put all (their) efforts in vain
ته دوزی کردن	stitching
سوله کارگاه	Soule (trade name for a metal building company) workshop / industrial shelter
از سردار	From a place situated in Multan, Punjab, Pakistan.
دانه‌ریز	small grain
پشت زدن	set-off
به دور	around the knitting needle
تاریخ ثبت سرنخ	thread registration/record date
مدير بازرگانی	business manager
خاصیت تنافر	repulsion
اوزالید	ozalid
تهویه هامون	Hamun Ventilation/Air Conditioning (Company)
وزیری‎	octavo
سلطانی‎	Folio
خرج	(Explosive) charge
زرنگار	Zarnegar
حروف‌نگاری شده	typeset
مدارس نمونه دولتی	State/Public Exemplary schools
در کنار	along with
کتابشناسی	bibliography
فراپیش گذاردن	to offer, provide, present, propose
وامی داشتن	force/compel; induce, persuade
با اعتبار	sponsored by
intangible	اموال غیر عینی / اموال معنوی / اموال غیر مادی
مستعجل‎	interim
سرانه فرهنگی	cultural spending per capita
علوم پایه	Basic Sciences
از محل	from/on the credit/funds
حفظ کیان	to protect the nature/essence
اعم از	including, such as
ستم‏کشی	submission, submissiveness
زیر پا گذاشتن	To walk over, to trample
در همين فاصله	meanwhile, in the meantime
گلايه‌گونه	complaining
حاميان	advocates, supporters, backers
حماسه و مقاومت	bravery / courage and resistance
بلوک پایه	cornerstone, groundwork, fundament
حال کسی را گرفتن	wear (sb) out/exhaust/shatter
مامور مربوطه	the (related) officer
مقیّد	committed
ماجراجویی کردن	to look for adventures, to set off on adventures
از باب مقدمه واجب	regarding the prelude to the obligatory
درخواست امان	seeking security or agreeing to a convenant
کوچه بازاری	Street Farsi
رض	May Allah be content with him
بر خر مراد سوار شدن	to reach the goal
مهذب الاسماء	An Arabic Dictionary: 18th century
پُرِ پُرش	latest / by the latest
چیزی نمونده	almost about to
لبیک	compliance, reply
پایین کشیدن	To shut down
جریان برانداز	subversive group/event (lit. subversive current)
خارج‌ نشین	living abroad / resident abroad, expatriate
سرعت مطمئنه	Safe speed
گره خوردن	to be tied to, to be accompanied by
تخلیه هیجان و شادی	(emotional) catharsis
دوره تخصصی پزشکی	Specialized (Medical) Program of Studies
گواهینامه پایان دوره	Certificate of Completion
معرق کاری	Mosaic tile-work
كلافگی	restlessness; a busy or occupied mind
نم نمک	slowly, little by little, bit by bit, sip by sip
غبار غم	cloud of sadness / sorrow
بابصيرت	insightful
به جان خریدن	gave his life for/ sacrificed himself for- welcome with body and soul/ purchase willingly
باب شدن	start / turn into a norm / become typical of ...
بيش و زودتر	...more and sooner than...
جفت‌سم	Cloven footed
دانه درشت	big shot, key player, major player
همی گفت	was saying (older Persian)
خطوط خردايش	crushing/grinding lines
فرشته آبان	The Angle of (the month) Aban
از آن جایی كه	For, because, since
آبادانی زمین	the prosperity of the land
از بنده	from/of me
پنجه نرم کردن	to deal with
به خود گرفتن	to develop (a characteristic); to take on (a characteristic)
به نوعی از	in some way or another, somehow
لشکر کشی کردن	to launch a military campaign
برخوردی (کاملا) دوگانه	(completely) double-faced approach
فرازی	Phrase/saying; idiomatic or short pithy expression
(ره)	Allah's mercy be upon him
به سخنرانی پرداختن	to proceed to speak; to proceed to give a speech
صادر شدن	To be issued, to be granted
صداي کسی را در آوردن	Driving somebody up the wall
دختر شیرینی فروش	The Pastry Girl
به یک اندازه	equally, equivalently
خيز برداشتن	to be poised to jump into
نمای نزدیک	close-up
حکایتگر	indicating, suggesting
حل و فصل	resolution
حمومک مورچه داره	the (little) bathhouse has ants
قيمت كن	(go)check the price (elsewhere)
هامون بازها	Hamoon fans
تیتر یک	main headline, banner headline, leader (journalism)
جان به لب آمدن	to be at the end of one’s rope, to be fed up with something
دشمن درجه یک	number one enemy
به خود	to itself
smart office	دفتر/محل کار هوشمند
به اين تريتب	thus, therefore
به نحوی كاملا هوشمند	in a highly/very intelligent way
تورم‌زايي	swell/swelling (behaviour/characteristic of soil)
فقط سر من بی کلاه موند	only I was left without the shirt on my back
خوردگان	(the) defeated
كش و قوس	flip-flopping, hemming and hawing, waffling
گيرانداختن	to catch / be caught
گیر دادن	to betray, disclose
بيخ گوش	right under the nose of...
کم رنگ جلوه دادن	to present something as weak
در قالب	in the form of, in the shape of
چندان	(not) much
به احتمال بسيار قوی	in all likelihood, in all probability
نظر افكندن	to look, to cast a glance
بازاری	secular, profane, materialistic (lit. market)
عشق کسی را مي‌كشه	whenever someone likes/whatever someone likes
يادت باشه‌ها!	Remember!
روشن‌ضمیر	illuminato
اين شتريه كه در خونه‌ي همه مي‌خوابه	A camel that kneels before every door
فداي سرت!	dont worry/doesnt matter/never mind
شركت خدمات منزل	Domestic services
همچنان	still
مساعدت فرمایید	assistance with
اسکان	Accommodation
میتوان بودن	can be
وکیل پایه یک دادگستری	senior attorney-at-law/solicitor
شریک سهامی	corporate partner
به‌جا گذاشتن	leave (for others)
کشکول	Anthology
جزء لاینفک	integral/inseperable part of .....
گردش حساب سود انباشته	Retained earning cash flow
منتهی به	...ending....
مصاحبه	interview
انصراف	withdrawal
پرداخت به صورت اقساط	payment by instalment/ to pay by instalment
نماینده رسمی	authorized representative
خاک مهر‌آیین	Land of Mercy and Kindness
رنگ واره	colour shadow
پسرِ شاخِ شمشادي	lofty as a box tree
خانم	Ma'am
هو المولف بین القلوب	It is He who reconciles/unites the hearts
هرطور شده	however it happened/came out
با آرزوی موفقیت های روزافزون	wishing you ever increasing success
گیاه علفی	herbaceous plant
جور شدن	(I hope circumstances) permit/allow (you to visit Iran...)
جد اعلی	great grandfather
به گفته‌ی	according to/as stated by
چراغدار	Trailblazer / Pathfinder
عریضه نویس	petition writer
عجب آدمی هستی	you are really something!
عین خیالش هم نیست!	He doesn\'t care at all!
نهان بين	Knower of Secrets/Seer of Secrets
سوته‌دلان	Sooteh Delan
واژه گزینی	word choice/ word selection
آینده سازان جامعه	builders of tomorrow's society
آینه تمام نما	full manifestation
استلزامات تربیتی	educational obligations/requirements
ارزش شناسی	axiology
بازی دست شماست	the ball is in your court
به طور خاص	specifically
مفصّل	elaborate/extensive
حکومت هند بریتانیا	British rule in India
حیطه‌ها	boundries / limits / scope
از راه رسيدن	turn up/show up (from nowhere)
از شر چیزی خلاص شدن	get rid of
noomzadam	My fiancee
dampaiee foroosh	selling slippers / slippers seller
لج کردن	to dig heels in/ to be obstinate or stubborn
طی شدن	to experience
در مَثَل مناقشه نیست	don\'t quibble/argue over an example
زمین خاکی	start from zero
دست دراز بودن	begging
کشک سابی لبو	(wide-mouth) mortar and pestle
دادسرا	Public prosecutor's office
علامت غالب	major/main symptom
خط جغرافيايي	geographical line
لبه آتش	next to the fire
و بره	wrap it up
توابع اعیان مستحدثات	superstructure of the property with all the appurtenances appertaining thereto
مفاصا حساب شهرداری	tax clearance obtained from municipality/municipal tax clearance
تبدیل به چیزی گردیدن	convert
بر	on/at
دفتر ثبت شرکتهای خارجی	Foreign Companies Registration Office
موازی کاری	parallel work
احتراما	respectfully
کیف قاپی	purse snatching
دایره تجسس	bureau of investigation
مدیر پایگاه آگاهی	Head of Criminal Investigation Department
چمنزار	pasture/grassland/meadowland
محل استقرار قشر خدمتکاران	the area where servant class/stratum settled, the settlement of servant class
دلا ل محبت	procurer/procuress
برگه عدم خلافی خودرو	driving record/motor vehicle record
تنظیم سند	Prepare/draw up the deed
دگرباش	LGBT / GLBT
اينه جاي تشكّرت؟	This is what I get instead of your gratitude?
در عین حال	yet
یا بخت و یا اقبال	I \'m Feeling Lucky
ایرانیت	Corrugated Sheet
پیش خرید	Forward purchase/advance purchase
به عبارتی	in other words
جادّه	road
ساخته شدن	to grow stronger, to stand on one\'s own feet
هر چه بیشتر	increasing/increasingly
عدم تفاهم	lack/absence of understanding
صحت عقل	being of sound and disposing mind
به اجرا گذاشتن چک	to cash the cheque
ستاره ابر نواختر	supernova
در مسیرِ چیزی	Along the (Zayande River)
به کلام	the word
اسکیس وراندو	sketch(ing) and rendering
مثل پروانه دور کسی گشتن	flitting/fluttering around someone like a butterfly
قرار موقوفی تعقیب	decree/order for suspension of prosecution
ملاحظه شد	noted/duly noted
جهت اقدام مقتضی	For the appropriate action
bar khod hamvaar kardan	to take upon oneself/to bear
نظری	Theoretical
دوّمي	the second/latter person
آدم بی جنبه ای هست	you can\'t take a joke
مشاور مدير عامل	Advisor to the Executive/Managing Director
کاری می کنی کارستان	take the bull by the horns
کارشناس امتحانات	Examinations Expert
مرکز پیش دانشگاهی بزرگسالان	Adult pre-university school/center
فرزندسالاری	child-driven (society)
عصا قورت داده	affected
برآيند	resultant, consequence
جدّم	My progenitor / predecessor
هر چی از دهنش در اومد بهم گفت	he let loose with everything he had
خودی نشان دادن	to show off/ to flaunt
کوی	tomb
در پی داشتن	lead to/result in
خشکم زده بود	I was petrified/dumbfounded/stunned/astounded
هر چند وقت	every now and then, sometimes, occasionally
حالت گرایی	modalism
آک مخت به هم می‌خوره!	keep your mind brand new/virgin!
یه وقت نکنه دوزار فکر کنیا!	don\'t strain your brain
هتل بین راهی	roadside hotel/motel
فرا باشند	transcendence
حرف دل من چیه؟	what do I really mean
من خودم هشتم گروی نهم است	I am over a barrel
طرحی ساختگی	concocted/fabricated design
قسم مس دهند	swear
جمال بی نقطه ات رو عشقه!	your / I love / ...love it!
موفق به چیزی شدن	to succeed in (doing) something
به قولی	as they say
بادمجان بم، آفت نداره	A bad thing never dies/A bad vessel is seldom broken
اين حسن ظنّ شما رو مي‌رسونه	this conveys your favorable opinion
پاسگاه طالقان	Taleghan Police Station
اشو	Ashu
گره زمان	(childhood) dilemma
فصل‌بندي كردن	to divide (a book) into chapters
مراحم	Welcome
در سمت فرمانداری خوزستان	as the governor of Khoozestan
حالا چه خاکی به سرم کنم؟	I don\'t know the heck which way to turn
تهاتر	offset/compensated for
لایحه جوابیه	rejoinder
جلب ثالث	impleader
کد نظام پزشکی	Medical Council Code/Number
همینطوری	non-stop
صفر	zero mileage (Brand new vehicle)
settlement	تسویه حساب
ببینیم چی میگیم	(then) we will decide
